Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Pct,EMA_20,Return,Volume_Change
2018-02-20,0.050282565157390546,0.04846702444338449,0.050202554789736564,0.048096904617264485,0.2847018238008735,0.5418532544401367,0.4641752460760973,0.41673846154328115,0.03265983199454242,0.02576300932362649,0.6150243103231978,0.025158423877363195,0.509207743320038,0.17501459589456203
2018-02-21,0.04916478264511551,0.04826714626650719,0.049611124015341485,0.04921809714034284,0.319544284586583,0.520108392884545,0.47049727455876017,0.42476364074652984,0.03130068909934486,0.026401609759087064,0.6102775002946812,0.025727204240385687,0.5045229051638807,0.25201365900283174
2018-02-22,0.0512139691454806,0.048024581556218915,0.050620826865235696,0.047737509216429636,0.2557876289843232,0.5524006300604875,0.47742084069499696,0.4327282698322755,0.031045204735072607,0.026517808860618386,0.6491506390032984,0.02644691624695447,0.5559183929340945,0.16983802994885758
2018-02-23,0.05551291429083938,0.05045085767648874,0.05326031399255174,0.050425711069009144,0.28353978527646234,0.615488685750009,0.48684628676503205,0.44120256974009076,0.03229109942616054,0.025973285957098052,0.7062461224185538,0.027528361739200008,0.591908133239601,0.24805561461156833
2018-02-26,0.0604853350921295,0.05578860686023432,0.057111374919915275,0.05427830229619596,0.3263394057123945,0.6792573525108235,0.4987559685097003,0.450638781199959,0.034485644418270955,0.02489361867230533,0.754076779806022,0.02900449747117176,0.6013943058352611,0.2592097257891426
2018-02-27,0.059654147371663024,0.05734418132899574,0.059923846050132706,0.05823141889753092,0.333875437091281,0.6601893021677651,0.507034500494377,0.46003449729094964,0.03672535688248685,0.024211729991628905,0.7113132001248401,0.030256856029266838,0.5096953166845095,0.22703265281999574
2018-02-28,0.059267150166389004,0.05754389688383241,0.059765098339105954,0.05846131439630742,0.32259943244288836,0.6508911997203627,0.5127902684747905,0.468835047422942,0.03873983208022619,0.023874634040817355,0.6819783492476565,0.03135120814753897,0.5165772133289452,0.21236048498417284
2018-03-01,0.05479634587251209,0.05634510021224756,0.05199099551916475,0.057426341275715664,0.43102913892179057,0.5480223740436948,0.5126747290963094,0.4758497133946555,0.03983265172165934,0.023967995294568334,0.6105430637632565,0.03189385754331123,0.45281457580860013,0.3075231909748572
2018-03-02,0.05653027112141873,0.051378489878630224,0.05168812339996051,0.04917501730424098,0.3292105559361301,0.5758261411252685,0.5137783566000323,0.4817076396638817,0.04108320897604589,0.024025215633009328,0.6208809176884664,0.03255837303596551,0.5501609923872408,0.15824529088599412
2018-03-05,0.05740436545843913,0.05343364035727424,0.05467373693303754,0.05263943016935951,0.2302985451783362,0.589985269121135,0.5150183726698817,0.4866705992712815,0.04218964222106136,0.02541832372029909,0.6171670840954314,0.0332470886412877,0.5364032371600197,0.14361169040744626
